Team,ID,Name,Email,PreferredGame,SkillLevel,PreferredRole,PersonalityScore,PersonalityType
Team_4,P035,Participant_35,user35@university.edu,Basketball,8,Coordinator,78,Balanced
Team_4,P086,Participant_86,user86@university.edu,FIFA,9,Strategist,89,Balanced
Team_4,P093,Participant_93,user93@university.edu,CS:GO,4,Defender,51,Thinker
Team_4,P017,Participant_17,user17@university.edu,CS:GO,10,Attacker,77,Balanced
Team_4,P059,Participant_59,user59@university.edu,DOTA 2,4,Supporter,79,Balanced
Team_4,P012,Participant_12,user12@university.edu,DOTA 2,3,Attacker,63,Thinker
Team_4,P062,Participant_62,user62@university.edu,Basketball,6,Attacker,85,Balanced
Team_4,P008,Participant_8,user8@university.edu,Valorant,10,Defender,81,Balanced
Team_4,P046,Participant_46,user46@university.edu,CS:GO,5,Strategist,96,Leader
Team_4,P077,Participant_77,user77@university.edu,FIFA,2,Attacker,89,Balanced
Team_4,P060,Participant_60,user60@university.edu,CS:GO,4,Coordinator,57,Thinker
Team_4,P041,Participant_41,user41@university.edu,Basketball,5,Strategist,70,Balanced
Team_7,P011,Participant_11,user11@university.edu,Basketball,8,Strategist,84,Balanced
Team_7,P050,Participant_50,user50@university.edu,Basketball,5,Coordinator,70,Balanced
Team_7,P084,Participant_84,user84@university.edu,FIFA,5,Supporter,63,Thinker
Team_7,P017,Participant_17,user17@university.edu,CS:GO,10,Attacker,77,Balanced
Team_7,P009,Participant_9,user9@university.edu,CS:GO,6,Supporter,62,Thinker
Team_7,P026,Participant_26,user26@university.edu,Chess,8,Strategist,74,Balanced
Team_7,P065,Participant_65,user65@university.edu,DOTA 2,7,Coordinator,77,Balanced
Team_7,P043,Participant_43,user43@university.edu,DOTA 2,2,Defender,100,Leader
Team_7,P021,Participant_21,user21@university.edu,FIFA,4,Strategist,64,Thinker
Team_7,123,swe,swe@gmail.com,chess,8,strategist,88,Balanced
Team_7,P035,Participant_35,user35@university.edu,Basketball,8,Coordinator,78,Balanced
Team_7,P024,Participant_24,user24@university.edu,DOTA 2,7,Supporter,63,Thinker
Team_7,P057,Participant_57,user57@university.edu,CS:GO,7,Attacker,54,Thinker
Team_7,P043,Participant_43,user43@university.edu,DOTA 2,2,Defender,100,Leader
Team_7,P002,Participant_2,user2@university.edu,FIFA,5,Attacker,80,Balanced
Team_7,P087,Participant_87,user87@university.edu,Basketball,4,Attacker,51,Thinker
Team_7,P095,Participant_95,user95@university.edu,CS:GO,2,Coordinator,84,Balanced
Team_7,P073,Participant_73,user73@university.edu,DOTA 2,8,Defender,100,Leader
Team_7,P002,Participant_2,user2@university.edu,FIFA,5,Attacker,80,Balanced
Team_7,P030,Participant_30,user30@university.edu,CS:GO,4,Coordinator,54,Thinker
Team_12,P046,Participant_46,user46@university.edu,CS:GO,5,Strategist,96,Leader
Team_12,P038,Participant_38,user38@university.edu,Valorant,1,Defender,78,Balanced
Team_12,P074,Participant_74,user74@university.edu,FIFA,3,Supporter,82,Balanced
Team_12,P059,Participant_59,user59@university.edu,DOTA 2,4,Supporter,79,Balanced
Team_12,P078,Participant_78,user78@university.edu,FIFA,6,Defender,51,Thinker
Team_12,P048,Participant_48,user48@university.edu,Valorant,6,Defender,65,Thinker
Team_12,P030,Participant_30,user30@university.edu,CS:GO,4,Coordinator,54,Thinker
Team_12,P017,Participant_17,user17@university.edu,CS:GO,10,Attacker,77,Balanced
Team_12,P010,Participant_10,user10@university.edu,Valorant,5,Coordinator,96,Leader
Team_12,P080,Participant_80,user80@university.edu,Basketball,1,Coordinator,82,Balanced
Team_12,P002,Participant_2,user2@university.edu,FIFA,5,Attacker,80,Balanced
Team_12,P039,Participant_39,user39@university.edu,FIFA,5,Supporter,66,Thinker
Team_12,P075,Participant_75,user75@university.edu,Valorant,8,Coordinator,53,Thinker
Team_12,P049,Participant_49,user49@university.edu,Basketball,3,Supporter,95,Leader
Team_12,P047,Participant_47,user47@university.edu,DOTA 2,10,Attacker,78,Balanced
Team_12,P026,Participant_26,user26@university.edu,Chess,8,Strategist,74,Balanced
Team_12,P075,Participant_75,user75@university.edu,Valorant,8,Coordinator,53,Thinker
Team_12,P013,Participant_13,user13@university.edu,DOTA 2,4,Defender,97,Leader
Team_12,P077,Participant_77,user77@university.edu,FIFA,2,Attacker,89,Balanced
Team_12,P021,Participant_21,user21@university.edu,FIFA,4,Strategist,64,Thinker
Team_16,P020,Participant_20,user20@university.edu,Valorant,3,Coordinator,82,Balanced
Team_16,P067,Participant_67,user67@university.edu,Basketball,1,Attacker,92,Leader
Team_16,P084,Participant_84,user84@university.edu,FIFA,5,Supporter,63,Thinker
Team_16,P011,Participant_11,user11@university.edu,Basketball,8,Strategist,84,Balanced
Team_16,123,swe,swe@gmail.com,chess,8,strategist,88,Balanced
Team_12,P054,Participant_54,user54@university.edu,Valorant,8,Supporter,69,Thinker
Team_12,P098,Participant_98,user98@university.edu,CS:GO,5,Defender,83,Balanced
Team_12,P017,Participant_17,user17@university.edu,CS:GO,10,Attacker,77,Balanced
Team_12,P080,Participant_80,user80@university.edu,Basketball,1,Coordinator,82,Balanced
Team_12,P008,Participant_8,user8@university.edu,Valorant,10,Defender,81,Balanced
Team_18,P012,Participant_12,user12@university.edu,DOTA 2,3,Attacker,63,Thinker
Team_18,P075,Participant_75,user75@university.edu,Valorant,8,Coordinator,53,Thinker
Team_18,P079,Participant_79,user79@university.edu,Chess,5,Supporter,97,Leader
Team_18,P098,Participant_98,user98@university.edu,CS:GO,5,Defender,83,Balanced
Team_18,P023,Participant_23,user23@university.edu,CS:GO,3,Defender,87,Balanced
Team_18,P095,Participant_95,user95@university.edu,CS:GO,2,Coordinator,84,Balanced
Team_18,P031,Participant_31,user31@university.edu,Basketball,8,Strategist,97,Leader
Team_18,P047,Participant_47,user47@university.edu,DOTA 2,10,Attacker,78,Balanced
Team_18,P041,Participant_41,user41@university.edu,Basketball,5,Strategist,70,Balanced
Team_18,P032,Participant_32,user32@university.edu,DOTA 2,2,Attacker,86,Balanced
Team_20,P014,Participant_14,user14@university.edu,FIFA,3,Supporter,73,Balanced
Team_20,P025,Participant_25,user25@university.edu,FIFA,9,Coordinator,100,Leader
Team_20,P062,Participant_62,user62@university.edu,Basketball,6,Attacker,85,Balanced
Team_20,P011,Participant_11,user11@university.edu,Basketball,8,Strategist,84,Balanced
Team_20,P098,Participant_98,user98@university.edu,CS:GO,5,Defender,83,Balanced
Team_20,P048,Participant_48,user48@university.edu,Valorant,6,Defender,65,Thinker
Team_20,P091,Participant_91,user91@university.edu,FIFA,10,Strategist,98,Leader
Team_20,P017,Participant_17,user17@university.edu,CS:GO,10,Attacker,77,Balanced
Team_20,P065,Participant_65,user65@university.edu,DOTA 2,7,Coordinator,77,Balanced
Team_20,P053,Participant_53,user53@university.edu,DOTA 2,7,Defender,71,Balanced
