Team,ID,Name,Email,PreferredGame,SkillLevel,PreferredRole,PersonalityScore,PersonalityType
Team 7,P060,Participant_60,user60@university.edu,CS:GO,4,Coordinator,57,Thinker
Team 7,P020,Participant_20,user20@university.edu,Valorant,3,Coordinator,82,Balanced
Team 7,P098,Participant_98,user98@university.edu,CS:GO,5,Defender,83,Balanced
Team 8,P057,Participant_57,user57@university.edu,CS:GO,7,Attacker,54,Thinker
Team 8,P029,Participant_29,user29@university.edu,Basketball,5,Supporter,77,Balanced
Team 8,P005,Participant_5,user5@university.edu,CS:GO,9,Coordinator,82,Balanced
Team 9,P019,Participant_19,user19@university.edu,FIFA,9,Supporter,95,Leader
Team 9,P045,Participant_45,user45@university.edu,Chess,2,Coordinator,68,Thinker
Team 9,P047,Participant_47,user47@university.edu,DOTA 2,10,Attacker,78,Balanced
Team 9,P083,Participant_83,user83@university.edu,DOTA 2,10,Defender,75,Balanced
Team 10,P037,Participant_37,user37@university.edu,DOTA 2,8,Attacker,100,Leader
Team 10,P078,Participant_78,user78@university.edu,FIFA,6,Defender,51,Thinker
Team 10,P035,Participant_35,user35@university.edu,Basketball,8,Coordinator,78,Balanced
Team 10,P008,Participant_8,user8@university.edu,Valorant,10,Defender,81,Balanced
Team 11,P007,Participant_7,user7@university.edu,DOTA 2,5,Attacker,93,Leader
Team 11,P039,Participant_39,user39@university.edu,FIFA,5,Supporter,66,Thinker
Team 11,P023,Participant_23,user23@university.edu,CS:GO,3,Defender,87,Balanced
Team 11,P041,Participant_41,user41@university.edu,Basketball,5,Strategist,70,Balanced
Team 12,P028,Participant_28,user28@university.edu,CS:GO,8,Defender,90,Leader
Team 12,P075,Participant_75,user75@university.edu,Valorant,8,Coordinator,53,Thinker
Team 12,P062,Participant_62,user62@university.edu,Basketball,6,Attacker,85,Balanced
Team 12,P056,Participant_56,user56@university.edu,Basketball,4,Strategist,86,Balanced
Team 13,P010,Participant_10,user10@university.edu,Valorant,5,Coordinator,96,Leader
Team 13,P084,Participant_84,user84@university.edu,FIFA,5,Supporter,63,Thinker
Team 13,P017,Participant_17,user17@university.edu,CS:GO,10,Attacker,77,Balanced
Team 13,P038,Participant_38,user38@university.edu,Valorant,1,Defender,78,Balanced
Team 14,P034,Participant_34,user34@university.edu,FIFA,7,Supporter,91,Leader
Team 14,P066,Participant_66,user66@university.edu,Chess,1,Strategist,67,Thinker
Team 14,P077,Participant_77,user77@university.edu,FIFA,2,Attacker,89,Balanced
Team 15,P025,Participant_25,user25@university.edu,FIFA,9,Coordinator,100,Leader
Team 15,P081,Participant_81,user81@university.edu,FIFA,10,Strategist,52,Thinker
Team 15,P026,Participant_26,user26@university.edu,Chess,8,Strategist,74,Balanced
Team 16,P067,Participant_67,user67@university.edu,Basketball,1,Attacker,92,Leader
Team 16,P003,Participant_3,user3@university.edu,FIFA,4,Defender,66,Thinker
Team 16,P044,Participant_44,user44@university.edu,FIFA,6,Supporter,71,Balanced
Team 17,P046,Participant_46,user46@university.edu,CS:GO,5,Strategist,96,Leader
Team 17,P069,Participant_69,user69@university.edu,CS:GO,5,Supporter,68,Thinker
Team 17,P065,Participant_65,user65@university.edu,DOTA 2,7,Coordinator,77,Balanced
Team 18,P091,Participant_91,user91@university.edu,FIFA,10,Strategist,98,Leader
Team 18,P096,Participant_96,user96@university.edu,DOTA 2,8,Strategist,56,Thinker
Team 18,P002,Participant_2,user2@university.edu,FIFA,5,Attacker,80,Balanced
Team 19,P022,Participant_22,user22@university.edu,Chess,9,Attacker,97,Leader
Team 19,P051,Participant_51,user51@university.edu,FIFA,2,Strategist,57,Thinker
Team 19,P089,Participant_89,user89@university.edu,Chess,6,Supporter,75,Balanced
Team 20,P094,Participant_94,user94@university.edu,CS:GO,2,Supporter,98,Leader
Team 20,P024,Participant_24,user24@university.edu,DOTA 2,7,Supporter,63,Thinker
Team 20,P071,Participant_71,user71@university.edu,Chess,8,Strategist,70,Balanced
Team 21,P004,Participant_4,user4@university.edu,Basketball,4,Supporter,91,Leader
Team 21,P099,Participant_99,user99@university.edu,Valorant,3,Supporter,66,Thinker
Team 21,P032,Participant_32,user32@university.edu,DOTA 2,2,Attacker,86,Balanced
